Random State,Model,Best CV F1 Score,Final Test F1 Score,Avg. Prediction Entropy
42,Elastic Net,0.586983064818217,0.43675328554360815,1.1370495662109774
42,KNN,0.4037012389186787,0.49691358024691357,9.965784284662087e-09
42,SVC,0.5655194552184617,0.6856844305120168,1.005359006713071
42,Random Forest,0.4347864631708778,0.5405982905982906,0.932031369687534
42,Baseline (Most Frequent),,0.24324324324324323,
7,Elastic Net,0.5336981733410304,0.4523809523809524,1.116931218351764
7,KNN,0.46415603134019434,0.4516357206012378,9.965784284662087e-09
7,SVC,0.5270955045012806,0.7247327156094084,0.9515555916782517
7,Random Forest,0.44792966397992273,0.5703703703703704,0.7987305338202894
7,Baseline (Most Frequent),,0.24324324324324323,
21,Elastic Net,0.4789038227188845,0.6771998616076577,1.1847114919294166
21,KNN,0.37436378130499076,0.6270833333333333,0.7451411753976591
21,SVC,0.41243237913883446,0.5215543412264724,1.0005082415148254
21,Random Forest,0.3984218452310886,0.709836303056642,0.8725047821454599
21,Baseline (Most Frequent),,0.24324324324324323,
84,Elastic Net,0.5710664435896634,0.38270202020202015,1.1411998645060453
84,KNN,0.39194557813402187,0.556950456950457,0.6870580522264238
84,SVC,0.5283782277742046,0.32967032967032966,1.0233360923595556
84,Random Forest,0.43859649122807015,0.6318681318681318,0.9310304556810947
84,Baseline (Most Frequent),,0.24324324324324323,
100,Elastic Net,0.6064574169110459,0.5052197802197802,0.9852595725720179
100,KNN,0.42874532695961265,0.514957264957265,0.8447187660436435
100,SVC,0.46380782741598237,0.5686438318017265,1.0044113766318794
100,Random Forest,0.45646775147115437,0.5943234523089332,1.020074956196303
100,Baseline (Most Frequent),,0.24324324324324323,
